,Monthly Debt,Number of Open Accounts,Current Loan Amount,Number of Credit Problems,Annual Income,Credit Score_bin,Credit Score,Current Credit Balance,Maximum Open Credit,Bankruptcies,Months since last delinquent,Years of Credit History,Tax Liens,Term,Bankruptcies_bin,Bankruptcies_bin2,Home Ownership_0,Home Ownership_1,Home Ownership_2,Years in current job_0,Years in current job_1,Years in current job_10,Years in current job_11,Years in current job_2,Years in current job_3,Years in current job_4,Years in current job_5,Years in current job_6,Years in current job_7,Years in current job_8,Years in current job_9,Purpose_0,Purpose_1,Purpose_2,Purpose_3,Months since last delinquent_dummy_-1,Months since last delinquent_dummy_0,Months since last delinquent_dummy_1,Months since last delinquent_dummy_2,Months since last delinquent_dummy_3,Months since last delinquent_dummy_4,Months since last delinquent_dummy_5,Credit Default
23,17132.0,17.0,12.071849585187246,0,-10.0,0,-10.0,12.032165587337238,13.458894183738874,0,17.0,14.8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
24,37530.0,12.0,13.055533165682009,0,-10.0,0,-10.0,13.614998960956404,14.01135444127046,0,61.0,25.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
25,22225.0,3.0,11.590284575014563,0,1353142.0,0,720.0,13.851147935555405,14.024078803698997,0,-10.0,29.8,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
26,17046.0,20.0,11.099090426517867,0,951425.0,0,742.0,12.563309931325083,13.526335371372157,0,-10.0,15.8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
28,13807.0,12.0,11.956219292216355,0,711094.0,0,740.0,12.477301350647638,13.187793376057712,0,-10.0,19.5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
29,22352.0,9.0,12.788061982799624,0,-10.0,0,-10.0,11.195594852917294,12.136159708055148,0,6.0,18.6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
32,28247.0,19.0,12.48819805830389,0,1526840.0,0,726.0,13.112674592345078,14.080243553234071,0,14.0,25.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
33,14003.0,13.0,11.28307195213092,0,-10.0,0,-10.0,11.006888357936035,11.52746919041107,0,11.0,21.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
34,21839.0,6.0,10.691467526242246,0,1899050.0,0,722.0,13.218456886689628,13.595727603513561,0,-10.0,10.2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
35,7020.0,9.0,11.95424022597209,0,-10.0,0,-10.0,12.445884505527154,14.191962148469534,0,32.0,31.4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
36,18846.0,8.0,13.411233244149084,0,-10.0,0,-10.0,12.23930914277284,12.922015518713668,0,14.0,14.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
37,10806.0,13.0,11.719427308015874,0,-10.0,0,-10.0,12.30964856975153,13.319003597766695,0,-10.0,18.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
38,10200.0,15.0,11.700823113097202,0,1395645.0,0,750.0,10.981999169497234,14.207676286745082,0,75.0,17.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
39,21868.0,12.0,12.074738836449137,3,852017.0,0,727.0,11.98553818756979,12.729981311842407,0,-10.0,7.6,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1
40,14670.0,13.0,12.413107139911197,0,709821.0,0,670.0,12.197748092383941,12.735891745788699,0,65.0,23.7,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
41,9014.0,20.0,12.393510259623094,0,1350349.0,0,721.0,12.633250320543988,13.545567547212483,0,10.0,15.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
42,13844.0,22.0,12.697137301132232,0,-10.0,0,-10.0,12.613788552023458,13.345575726351926,0,28.0,10.9,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
43,12031.0,10.0,12.160745727395126,0,-10.0,0,-10.0,12.019309238308715,12.76190700716224,0,-10.0,9.4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
45,28897.0,10.0,13.559447300392586,1,-10.0,0,-10.0,13.296740124276266,13.914953096890429,1,-10.0,21.4,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
47,24039.0,18.0,12.28067442431276,0,-10.0,0,-10.0,13.325372790478678,14.18532707196507,0,-10.0,18.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
48,25005.0,14.0,12.68787205520437,0,-10.0,0,-10.0,11.458437599686107,12.439843526205111,0,29.0,18.7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1
49,19012.0,8.0,12.780844427521464,0,-10.0,0,-10.0,11.592669666556795,12.11034888021115,0,13.0,17.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
50,9379.0,6.0,12.30278638533771,0,665931.0,0,716.0,12.106959242632813,12.541269068647335,0,-10.0,22.2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
51,20416.0,12.0,11.79173075510934,0,1521672.0,0,742.0,12.399766788619095,13.711126232344538,0,-10.0,10.4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
52,13137.0,8.0,12.48869569266601,0,916560.0,0,744.0,12.118328272691985,13.243109130985554,0,-10.0,9.5,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
53,13889.0,19.0,13.552746113435422,0,2276808.0,0,707.0,12.49830186402568,14.337747820590236,0,8.0,34.4,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
54,3767.0,7.0,12.075491183293707,1,-10.0,0,-10.0,11.918050515265287,12.590542215106392,1,71.0,17.6,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
55,18351.0,7.0,11.777817301664822,0,-10.0,0,-10.0,10.577349971684207,11.397525836740476,0,13.0,18.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
56,12865.0,7.0,13.056520539348485,0,1520969.0,0,748.0,7.928406026180535,13.035914024267884,0,-10.0,19.2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
57,12592.0,7.0,11.174076405943204,1,719549.0,0,722.0,10.224483504017842,10.526507289654278,0,-10.0,16.3,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
58,25483.0,17.0,12.244393915844453,0,992845.0,0,739.0,12.592327750705646,13.939545123137414,0,-10.0,21.2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
59,13006.0,9.0,12.650845001508921,0,-10.0,0,-10.0,12.600429619456161,13.372488431994013,0,-10.0,10.7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
60,6181.0,10.0,12.347411604630096,0,1630029.0,0,714.0,12.471052716559873,13.45470566895924,0,-10.0,17.3,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
62,23949.0,8.0,12.717593027895507,0,1670860.0,0,705.0,11.716437574335211,12.360598969080208,0,61.0,16.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
63,12671.0,7.0,12.084848069561804,0,573762.0,0,735.0,11.650441408716866,12.191573032366373,0,54.0,16.6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
64,28077.0,10.0,11.960868795296044,0,-10.0,0,-10.0,12.894860337312666,13.455462789585503,0,-10.0,15.6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
65,16428.0,8.0,12.671638316591284,0,1280125.0,0,741.0,12.23072623296883,12.801979033852348,0,-10.0,13.3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
66,21461.0,11.0,12.492750463887573,1,-10.0,0,-10.0,11.904399824051243,13.449389713069076,1,-10.0,11.3,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
68,39559.0,10.0,13.086016770049216,0,2157773.0,0,743.0,13.1112538949945,13.400563134466617,0,13.0,22.2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
69,9320.0,12.0,13.173054590577355,0,1408527.0,0,6470.0,12.067591882094673,13.458925609975784,0,21.0,17.5,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
70,6498.0,5.0,11.90923545928964,0,613966.0,0,744.0,10.30838583336139,11.482455948154028,0,-10.0,16.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
71,35030.0,8.0,12.639856304885836,0,-10.0,0,-10.0,12.794950381664208,13.589707222558358,0,-10.0,13.1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
72,19950.0,9.0,13.043322334563697,0,1140000.0,0,725.0,12.9355734523056,13.565058757512976,0,-10.0,16.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
73,4773.0,9.0,12.770451358423157,0,1631644.0,0,718.0,11.955480813256735,13.667501148540051,0,-10.0,12.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1
74,28487.0,10.0,13.001607176268529,0,1435127.0,0,674.0,13.569953950146353,14.31258628365509,0,68.0,21.2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
75,29320.0,17.0,13.012961372586782,0,-10.0,0,-10.0,11.8233616870406,14.658219763703066,0,-10.0,32.5,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
77,12134.0,19.0,12.074487928331514,0,1164852.0,0,729.0,11.436735326612181,12.530114371049471,0,-10.0,12.7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
78,7735.0,7.0,12.06933038931014,0,-10.0,0,-10.0,12.13028711321275,12.93663843566048,0,-10.0,9.0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
79,10351.0,11.0,11.594551533850174,3,985815.0,0,729.0,11.560762794384388,12.336561288684084,2,51.0,18.1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
80,16918.0,6.0,11.624905026332936,0,-10.0,0,-10.0,11.004995644316264,12.483458139692061,0,70.0,36.8,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
81,15906.0,7.0,11.765930685278576,0,1112298.0,0,704.0,10.667139793981427,11.309572285975145,0,-10.0,9.0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
82,16606.0,6.0,11.602629048052007,0,1001357.0,0,745.0,12.592327750705646,13.392837742840213,0,-10.0,16.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
83,49298.0,18.0,11.664057306974144,0,1860290.0,0,749.0,13.455299368874288,13.929034759870946,0,-10.0,16.4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
84,51205.0,13.0,12.85083545457571,0,2539103.0,0,742.0,13.363114206821676,14.007312863427744,0,-10.0,17.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
86,19188.0,9.0,12.874565900251406,0,1934884.0,0,745.0,12.97010224459151,13.553632675194025,0,51.0,18.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
87,18147.0,11.0,12.258793170938816,0,1533566.0,0,7440.0,12.56191324149742,13.480685164552078,0,19.0,14.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
88,17991.0,18.0,13.516801241663291,0,1375068.0,0,729.0,13.427766500409165,14.798531282946232,0,22.0,32.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
89,12648.0,13.0,11.514374414735332,0,1041675.0,0,737.0,12.02933546703012,13.22007249563536,0,16.0,19.4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
90,14237.0,6.0,12.081738825259693,1,1304141.0,0,673.0,11.488089592118596,11.793726416720977,1,-10.0,12.9,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
91,9021.0,6.0,12.019291158014125,0,601369.0,0,738.0,0.0,0.0,0,14.0,16.9,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
92,25863.0,12.0,12.530193922092357,0,1642075.0,0,653.0,12.526208597285466,12.860315262956153,0,14.0,12.9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
93,55716.0,18.0,12.648091451928643,0,-10.0,0,-10.0,14.660281227693533,14.923417847292068,0,-10.0,17.9,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
94,15215.0,5.0,12.729329678144104,0,1049294.0,0,7010.0,11.691322664872027,12.428459910932276,0,-10.0,6.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
95,13565.0,8.0,12.205757595907253,0,805828.0,0,740.0,12.432945235329809,13.395988613840373,0,38.0,20.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
96,11553.0,13.0,12.257331189313929,0,757568.0,0,7320.0,12.530269851275774,12.85722266216204,0,-10.0,11.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
98,16251.0,17.0,12.186538082301611,1,1242087.0,0,711.0,12.108112457553773,13.327676914541163,1,36.0,20.6,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
99,7879.0,9.0,10.398945699170996,0,-10.0,0,-10.0,9.549808117577195,11.024497138646275,0,-10.0,8.9,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
101,16645.0,10.0,12.717593027895507,0,960260.0,0,617.0,12.677556428807264,13.58774760361774,0,34.0,16.3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
102,6555.0,7.0,12.609458927709554,0,708624.0,0,730.0,12.255172285616517,13.264520709411189,0,-10.0,8.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
103,19511.0,7.0,12.913972961426959,0,1510538.0,0,724.0,12.976322060961646,13.29374699915794,0,-10.0,18.8,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
105,5996.0,16.0,12.747736834815514,0,-10.0,0,-10.0,12.292892337482733,13.962749693716889,0,71.0,17.6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
106,50122.0,10.0,12.988413611559649,0,2454933.0,0,730.0,12.856442796734061,13.183373807140258,0,3.0,22.4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
107,14324.0,14.0,11.409551862980347,0,-10.0,0,-10.0,11.964956042225714,12.614004708202126,0,73.0,11.9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
109,26188.0,11.0,12.882538970988643,0,2831190.0,0,741.0,12.801990055048865,13.158095319559488,0,-10.0,16.7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
111,13511.0,9.0,11.928439908931395,0,-10.0,0,-10.0,11.985775040665883,12.467832881455303,0,-10.0,13.8,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
112,15306.0,14.0,12.403672722373686,2,1530640.0,0,740.0,12.178696309974692,12.55478749178715,2,61.0,18.0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
113,9706.0,13.0,12.312426167993507,0,902918.0,0,738.0,10.35964577495981,12.70458173118133,0,72.0,15.2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
114,10478.0,11.0,12.847134112558274,0,1030579.0,0,624.0,11.46423929539317,11.856664094440628,0,-10.0,8.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
115,46945.0,19.0,13.376318538102403,0,2041094.0,0,736.0,13.029583393951832,13.849541867887657,0,-10.0,16.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
116,13780.0,10.0,12.320503401905135,0,1039984.0,0,7390.0,11.466431163290443,11.90463641684573,0,63.0,23.8,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
117,15076.0,10.0,12.316374432971894,0,1350083.0,0,724.0,12.03566384919983,12.693090090478913,0,-10.0,12.2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
118,24974.0,9.0,13.039935661191004,0,1637629.0,0,724.0,12.561380655640402,12.829009249215092,0,-10.0,17.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
119,11611.0,12.0,11.60202549254316,0,566409.0,0,667.0,11.318235736700808,12.573396191325608,0,-10.0,6.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
120,21091.0,8.0,12.113611902223026,0,-10.0,0,-10.0,11.973863122202218,12.912345802309025,0,23.0,6.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
122,25361.0,10.0,12.692481593631697,0,1217349.0,0,707.0,12.606495060606482,12.81175107179216,0,60.0,16.7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
123,6968.0,9.0,12.079868627720504,0,494798.0,0,694.0,11.73288796209219,12.707384153287466,0,17.0,10.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
124,25376.0,11.0,13.526864020565663,0,2379047.0,0,679.0,13.657968634364533,13.861148138913633,0,-10.0,21.7,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
126,42987.0,14.0,13.382647017334515,0,2334150.0,0,708.0,13.811750497789681,14.199153280436933,0,-10.0,17.7,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
127,12214.0,9.0,13.209159231170498,0,1933573.0,0,748.0,12.137536812442402,13.650625301510173,0,-10.0,20.5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
